2015073000,1000,15,137,1607
2015073006,1000,15,136,1599
2015073012,998,18,136,1592
2015073018,998,18,136,1587
2015073100,998,18,135,1581
2015073106,998,18,133,1569
2015073112,998,18,134,1559
2015073118,998,18,134,1548
2015080100,998,18,136,1533
2015080106,998,18,139,1521
2015080112,992,23,143,1508
2015080118,990,25,145,1495
2015080200,985,28,146,1482
2015080206,975,33,149,1467
2015080212,960,40,152,1459
2015080218,945,45,156,1449
2015080300,945,48,162,1440
2015080306,940,52,169,1430
2015080312,920,62,174,1418
2015080318,905,68,178,1407
2015080400,905,68,183,1396
2015080406,905,68,186,1383
2015080412,920,62,189,1372
2015080418,930,58,193,1362
2015080500,940,52,196,1349
2015080506,940,52,199,1338
2015080512,945,48,200,1326
2015080518,950,45,201,1315
2015080600,950,45,205,1302
2015080606,945,48,209,1292
2015080612,945,48,212,1282
2015080618,945,48,215,1269
2015080700,945,48,218,1258
2015080706,940,50,224,1248
2015080712,940,50,229,1239
2015080718,940,50,237,1226
2015080800,955,42,238,1205
2015080806,965,38,240,1198
2015080812,975,33,249,1196
2015080818,985,25,256,1184
2015080900,992,20,259,1175
2015080906,995,18,264,1167
2015080912,996,15,273,1162
2015080918,996,15,284,1157
2015081000,1000,13,296,1161
2015081006,1000,13,309,1169
2015081012,1000,13,317,1184
2015081018,1000,13,325,1199
2015081100,998,18,329,1209
2015081106,998,18,329,1221
2015081112,1002,15,329,1233
2015081118,1006,13,331,1249
2015081200,1006,13,336,1267
2015081206,1006,13,343,1286
